Sample	Read1	Read2	Notes	readpair_counts
BR_r_B6_39_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_39_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_39_8w/R2_final.fq.gz	NA	3493935
BR_r_B6_40_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_40_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_40_8w/R2_final.fq.gz	NA	3762815
BR_r_B6_41_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_41_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_41_8w/R2_final.fq.gz	NA	3867015
BR_r_B6_42_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_42_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_42_8w/R2_final.fq.gz	NA	3069916
BR_r_B6_43_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_43_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_43_8w/R2_final.fq.gz	NA	3799751
BR_r_B6_44_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_44_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/BR_r_B6_44_8w/R2_final.fq.gz	NA	3757950
NY_D_TSU043_192d	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_D_TSU043_192d/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_D_TSU043_192d/R2_final.fq.gz	NA	1561214
NY_D_TSU043_328d	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_D_TSU043_328d/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_D_TSU043_328d/R2_final.fq.gz	NA	3041425
NY_d_TSU126_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_d_TSU126_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_d_TSU126_8w/R2_final.fq.gz	NA	7446629
NY_d_TSU127_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_d_TSU127_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_d_TSU127_8w/R2_final.fq.gz	NA	14493772
NY_d_TSU167_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_d_TSU167_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_d_TSU167_8w/R2_final.fq.gz	NA	14357862
NY_d_TSU168_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_d_TSU168_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_d_TSU168_8w/R2_final.fq.gz	NA	3081618
NY_d_TSU169_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_d_TSU169_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_d_TSU169_8w/R2_final.fq.gz	NA	2334099
NY_d_TSU170_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_d_TSU170_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_d_TSU170_8w/R2_final.fq.gz	NA	3157292
NY_d_TSU177_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_d_TSU177_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_d_TSU177_8w/R2_final.fq.gz	NA	4379591
NY_d_TSU178_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_d_TSU178_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_d_TSU178_8w/R2_final.fq.gz	NA	3082873
NY_d_TSU183_8w	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_d_TSU183_8w/R1_final.fq.gz	/tmp/global2/atyakht/small_projects/Taichi_selection_mice_2023/out/llmgqc_normal/final/NY_d_TSU183_8w/R2_final.fq.gz	NA	3743390
